dataset,img_name,num_obj_anno,format,mode,format_mode,width,height,aspect_ratio,aspect_ratio_max
test,batch_1_000003.jpg,1,jpg,RGB,jpg_RGB,1537,2049,0.7501220107369448,1.3331164606376058
test,batch_3_IMG_4877.JPG,2,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_14_000008.jpg,1,jpg,RGB,jpg_RGB,3120,4160,0.75,1.3333333333333333
test,batch_3_IMG_4862.JPG,8,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_14_000034.jpg,1,jpg,RGB,jpg_RGB,4032,3024,1.3333333333333333,1.3333333333333333
test,batch_5_000094.JPG,1,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_13_000053.jpg,1,jpg,RGB,jpg_RGB,4160,3120,1.3333333333333333,1.3333333333333333
test,batch_11_000031.jpg,1,jpg,RGB,jpg_RGB,4128,2322,1.7777777777777777,1.7777777777777777
test,batch_12_000017.jpg,3,jpg,RGB,jpg_RGB,5312,2988,1.7777777777777777,1.7777777777777777
test,batch_4_000011.JPG,2,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_11_000027.jpg,1,jpg,RGB,jpg_RGB,4128,2322,1.7777777777777777,1.7777777777777777
test,batch_7_000023.JPG,4,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_5_000096.JPG,1,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_1_000028.jpg,2,jpg,RGB,jpg_RGB,1537,2049,0.7501220107369448,1.3331164606376058
test,batch_6_000099.JPG,4,JPG,RGB,JPG_RGB,2624,1968,1.3333333333333333,1.3333333333333333
test,batch_13_000044.jpg,3,jpg,RGB,jpg_RGB,4160,3120,1.3333333333333333,1.3333333333333333
test,batch_5_000054.JPG,1,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_12_000000.jpg,6,jpg,RGB,jpg_RGB,5312,2988,1.7777777777777777,1.7777777777777777
test,batch_4_000014.JPG,2,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_8_000047.jpg,3,jpg,RGB,jpg_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_5_000050.JPG,2,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_2_000037.JPG,2,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_6_000062.JPG,1,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_14_000032.jpg,2,jpg,RGB,jpg_RGB,4032,3024,1.3333333333333333,1.3333333333333333
test,batch_12_000011.jpg,1,jpg,RGB,jpg_RGB,5312,2988,1.7777777777777777,1.7777777777777777
test,batch_6_000101.JPG,2,JPG,RGB,JPG_RGB,2624,1968,1.3333333333333333,1.3333333333333333
test,batch_8_000078.jpg,1,jpg,RGB,jpg_RGB,2268,4032,0.5625,1.7777777777777777
test,batch_15_000048.jpg,2,jpg,RGB,jpg_RGB,3024,4032,0.75,1.3333333333333333
test,batch_5_000047.JPG,4,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_14_000024.jpg,1,jpg,RGB,jpg_RGB,3120,4160,0.75,1.3333333333333333
test,batch_2_000020.JPG,1,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_6_000075.JPG,1,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_10_000071.jpg,2,jpg,RGB,jpg_RGB,1824,4000,0.456,2.192982456140351
test,batch_3_IMG_4898.JPG,1,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_2_000035.JPG,5,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_11_000008.jpg,2,jpg,RGB,jpg_RGB,1824,4000,0.456,2.192982456140351
test,batch_6_000100.JPG,2,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_15_000006.jpg,1,jpg,RGB,jpg_RGB,4032,3024,1.3333333333333333,1.3333333333333333
test,batch_1_000128.JPG,12,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_14_000095.jpg,1,jpg,RGB,jpg_RGB,4032,3024,1.3333333333333333,1.3333333333333333
test,batch_6_000013.JPG,3,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_6_000006.JPG,4,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_14_000080.jpg,1,jpg,RGB,jpg_RGB,4032,3024,1.3333333333333333,1.3333333333333333
test,batch_9_000073.jpg,2,jpg,RGB,jpg_RGB,1824,4000,0.456,2.192982456140351
test,batch_5_000020.JPG,7,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_11_000046.jpg,2,jpg,RGB,jpg_RGB,3456,4608,0.75,1.3333333333333333
test,batch_1_000129.JPG,7,JPG,RGB,JPG_RGB,2448,3264,0.75,1.3333333333333333
test,batch_3_IMG_4963.JPG,1,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_4_000066.JPG,5,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_12_000089.jpg,5,jpg,RGB,jpg_RGB,3120,4160,0.75,1.3333333333333333
test,batch_15_000011.jpg,2,jpg,RGB,jpg_RGB,4032,3024,1.3333333333333333,1.3333333333333333
test,batch_7_000108.JPG,1,JPG,RGB,JPG_RGB,3264,2448,1.3333333333333333,1.3333333333333333
test,batch_9_000059.jpg,2,jpg,RGB,jpg_RGB,2448,3264,0.75,1.3333333333333333
